hid,front,back,side,inside,combo,trees,sky,grass,score,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,redfin est,listed price,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,comments
1,1,,,,,1,1,1,5,PAST SALE,July-29-2020,Single Family Residential,1201 Shaker Dr,834211,839800,Herndon,VA,20170,839800,4,3.5,SHAKER WOODS,4536,44675,1985,4,185,15,Sold,,,http://www.redfin.com/VA/Herndon/1201-Shaker-Dr-20170/home/9121899,BRIGHT MLS,VAFX1134422,N,Y,38.9921349,-77.3459247,
2,1,,,,,1,1,1,4,PAST SALE,July-10-2020,Single Family Residential,11826 Blue Spruce Rd,712864,699900,Reston,VA,20191,701210,5,2.5,FOX MILL WOODS,2177,15008,1974,23,322,,Sold,,,http://www.redfin.com/VA/Reston/11826-Blue-Spruce-Rd-20191/home/9347343,BRIGHT MLS,VAFX1131196,N,Y,38.9203467,-77.3565569,
3,1,,,,,1,1,,3,PAST SALE,July-27-2020,Townhouse,1305 Sundial Dr,580151,574900,Reston,VA,20194,574900,2,3,RESTON SEC 61 BLK 3 PARK,1602,1584,1992,6,359,160,Sold,,,http://www.redfin.com/VA/Reston/1305-Sundial-Dr-20194/home/9146556,BRIGHT MLS,VAFX1136088,N,Y,38.9833246,-77.338525,
4,,,,1,,1,,,2,PAST SALE,July-31-2020,Condo/Co-op,1855 Stratford Park Pl #303,434805,435000,Reston,VA,20190,430000,2,2,STRATFORD CONDO,1077,,2000,2,399,524,Sold,,,http://www.redfin.com/VA/Reston/1855-Stratford-Park-Pl-20190/unit-303/home/9832788,BRIGHT MLS,VAFX1135828,N,Y,38.9572155,-77.3534174,
5,,,1,,,1,1,,2,PAST SALE,July-22-2020,Townhouse,11424 Waterview Cluster,824444,795000,Reston,VA,20190,795000,3,2.5,RESTON PCL 9 SEC 1,1702,2811,1965,11,467,191,Sold,,,http://www.redfin.com/VA/Reston/11424-Waterview-Cluster-20190/home/9219275,BRIGHT MLS,VAFX1130890,N,Y,38.966714,-77.341148,
6,,,,1,,1,,,2,PAST SALE,July-24-2020,Condo/Co-op,1417 Northgate Sq Unit 1A,210800,199000,Reston,VA,20190,210000,1,1,NORTHGATE CONDO,680,,1971,9,309,417,Sold,,,http://www.redfin.com/VA/Reston/1417-Northgate-Sq-20190/unit-1A/home/167146407,BRIGHT MLS,VAFX1135086,N,Y,38.970232,-77.33422,
7,,,,,,1,1,1,4,PAST SALE,July-23-2020,Single Family Residential,1283 Lamplighter Way,798111,785000,Reston,VA,20194,785000,3,3.5,RESTON,2995,7278,1989,10,262,89,Sold,,,http://www.redfin.com/VA/Reston/1283-Lamplighter-Way-20194/home/9143268,BRIGHT MLS,VAFX1118252,N,Y,38.9834348,-77.3335417,
8,1,,,,,1,1,,1,PAST SALE,July-24-2020,Condo/Co-op,11800 Sunset Hills Rd #1108,577108,595000,Reston,VA,20190,569900,3,2,CARLTON HOUSE CONDO,1519,,2005,9,375,621,Sold,,,http://www.redfin.com/VA/Reston/11800-Sunset-Hills-Rd-20190/unit-1108/home/9848372,BRIGHT MLS,VAFX1114148,N,Y,38.956205,-77.3544438,
9,,,,1,,1,,,1,PAST SALE,July-10-2020,Condo/Co-op,1783 Jonathan Way Unit C,292005,284500,Reston,VA,20190,290500,2,2,PARCRESTON CONDO,934,,1985,23,311,433,Sold,,,http://www.redfin.com/VA/Reston/1783-Jonathan-Way-20190/unit-C/home/172067069,BRIGHT MLS,VAFX1133706,N,Y,38.9613669,-77.3515998,
10,1,,,,,1,1,,1,PAST SALE,July-28-2020,Condo/Co-op,11800 Sunset Hills Rd #1219,342356,345000,Reston,VA,20190,340000,1,1,CARLTON HOUSE CONDO,833,,2005,5,408,385,Sold,,,http://www.redfin.com/VA/Reston/11800-Sunset-Hills-Rd-20190/unit-1219/home/9851696,BRIGHT MLS,VAFX1132870,N,Y,38.956205,-77.3544438,
